city,timestamp,pm25_pred,pm10_pred,cat,alert,suggestions
Bengaluru,2026-01-01 00:00:00,34.3,45.9,Good,OK,routine monitoring
Bengaluru,2026-01-01 01:00:00,36.5,48.9,Good,OK,routine monitoring
Bengaluru,2026-01-01 02:00:00,36.1,48.4,Good,OK,routine monitoring
Bengaluru,2026-01-01 03:00:00,36.3,49.7,Good,OK,routine monitoring
Bengaluru,2026-01-01 04:00:00,40.7,57.7,Good,OK,routine monitoring
Bengaluru,2026-01-01 05:00:00,37.8,54.6,Good,OK,routine monitoring
Bengaluru,2026-01-01 06:00:00,35.9,51.5,Good,OK,routine monitoring
Bengaluru,2026-01-01 07:00:00,36.7,51.4,Good,OK,routine monitoring
Bengaluru,2026-01-01 08:00:00,43.8,62.0,Good,OK,routine monitoring
Bengaluru,2026-01-01 09:00:00,45.6,68.0,Good,OK,routine monitoring
Bengaluru,2026-01-01 10:00:00,35.1,51.5,Good,OK,routine monitoring
Bengaluru,2026-01-01 11:00:00,36.6,52.3,Good,OK,routine monitoring
Bengaluru,2026-01-01 12:00:00,33.6,51.4,Good,OK,routine monitoring
Bengaluru,2026-01-01 13:00:00,29.3,40.5,Good,OK,routine monitoring
Bengaluru,2026-01-01 14:00:00,21.3,30.2,Good,OK,routine monitoring
Bengaluru,2026-01-01 15:00:00,22.3,32.4,Good,OK,routine monitoring
Bengaluru,2026-01-01 16:00:00,26.0,37.9,Good,OK,routine monitoring
Bengaluru,2026-01-01 17:00:00,25.1,35.9,Good,OK,routine monitoring
Bengaluru,2026-01-01 18:00:00,24.1,34.8,Good,OK,routine monitoring
Bengaluru,2026-01-01 19:00:00,24.6,35.6,Good,OK,routine monitoring
Bengaluru,2026-01-01 20:00:00,24.0,33.5,Good,OK,routine monitoring
Bengaluru,2026-01-01 21:00:00,23.5,32.4,Good,OK,routine monitoring
Bengaluru,2026-01-01 22:00:00,29.1,42.4,Good,OK,routine monitoring
Bengaluru,2026-01-01 23:00:00,31.0,42.5,Good,OK,routine monitoring
Delhi,2026-01-01 00:00:00,131.7,219.3,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 01:00:00,132.8,219.6,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 02:00:00,137.7,227.0,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 03:00:00,134.1,215.6,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 04:00:00,138.2,225.6,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 05:00:00,134.8,221.6,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 06:00:00,139.8,230.4,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 07:00:00,140.7,232.7,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 08:00:00,152.3,254.3,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 09:00:00,148.8,250.8,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 10:00:00,144.5,240.8,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 11:00:00,144.7,243.0,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 12:00:00,146.8,248.5,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 13:00:00,140.7,233.8,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 14:00:00,140.7,238.2,Poor,ALERT,30% curtailment; divert trucks
