city,timestamp,pm25_pred,pm10_pred,cat,alert,suggestions
Delhi,2026-01-01 00:00:00,128.5,216.8,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 01:00:00,130.4,222.5,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 02:00:00,134.8,229.4,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 03:00:00,129.1,216.2,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 04:00:00,135.6,229.0,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 05:00:00,130.3,219.3,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 06:00:00,132.2,221.6,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 07:00:00,139.2,234.9,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 08:00:00,153.0,259.0,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 09:00:00,147.8,247.9,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 10:00:00,144.8,242.7,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 11:00:00,145.3,246.9,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 12:00:00,146.9,244.7,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 13:00:00,142.5,238.7,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 14:00:00,143.2,240.8,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 15:00:00,132.8,225.6,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 16:00:00,128.1,217.7,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 17:00:00,124.5,210.0,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 18:00:00,126.1,213.0,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 19:00:00,133.3,222.5,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 20:00:00,136.0,228.6,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 21:00:00,125.6,205.9,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 22:00:00,124.9,204.4,Poor,ALERT,30% curtailment; divert trucks
Delhi,2026-01-01 23:00:00,123.9,203.5,Poor,ALERT,30% curtailment; divert trucks
Mumbai,2026-01-01 00:00:00,43.6,64.6,Good,OK,routine monitoring
Mumbai,2026-01-01 01:00:00,48.7,70.9,Good,OK,routine monitoring
Mumbai,2026-01-01 02:00:00,48.8,73.4,Good,OK,routine monitoring
Mumbai,2026-01-01 03:00:00,47.5,71.7,Good,OK,routine monitoring
Mumbai,2026-01-01 04:00:00,46.8,69.0,Good,OK,routine monitoring
Mumbai,2026-01-01 05:00:00,51.4,77.1,Moderate,OK,routine monitoring
Mumbai,2026-01-01 06:00:00,54.5,83.0,Moderate,OK,routine monitoring
Mumbai,2026-01-01 07:00:00,52.8,80.6,Moderate,OK,routine monitoring
Mumbai,2026-01-01 08:00:00,58.0,90.0,Moderate,OK,routine monitoring
Mumbai,2026-01-01 09:00:00,58.5,82.6,Moderate,OK,routine monitoring
Mumbai,2026-01-01 10:00:00,51.7,82.6,Moderate,OK,routine monitoring
Mumbai,2026-01-01 11:00:00,51.2,79.9,Moderate,OK,routine monitoring
Mumbai,2026-01-01 12:00:00,53.1,82.5,Moderate,OK,routine monitoring
Mumbai,2026-01-01 13:00:00,44.9,71.6,Good,OK,routine monitoring
Mumbai,2026-01-01 14:00:00,47.3,73.6,Good,OK,routine monitoring
Mumbai,2026-01-01 15:00:00,41.8,64.6,Good,OK,routine monitoring
Mumbai,2026-01-01 16:00:00,39.9,66.4,Good,OK,routine monitoring
Mumbai,2026-01-01 17:00:00,39.7,66.5,Good,OK,routine monitoring
Mumbai,2026-01-01 18:00:00,38.9,60.5,Good,OK,routine monitoring
Mumbai,2026-01-01 19:00:00,42.7,65.3,Good,OK,routine monitoring
Mumbai,2026-01-01 20:00:00,45.9,70.9,Good,OK,routine monitoring
Mumbai,2026-01-01 21:00:00,35.8,53.6,Good,OK,routine monitoring
Mumbai,2026-01-01 22:00:00,36.5,53.4,Good,OK,routine monitoring
Mumbai,2026-01-01 23:00:00,41.5,59.1,Good,OK,routine monitoring
Kolkata,2026-01-01 00:00:00,57.9,84.5,Moderate,OK,routine monitoring
Kolkata,2026-01-01 01:00:00,61.6,90.7,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 02:00:00,69.8,105.5,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 03:00:00,66.4,101.5,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 04:00:00,63.7,93.7,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 05:00:00,70.3,106.1,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 06:00:00,70.3,101.8,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 07:00:00,69.1,104.8,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 08:00:00,79.4,122.0,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 09:00:00,72.0,110.8,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 10:00:00,72.4,108.3,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 11:00:00,66.1,102.9,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 12:00:00,65.8,103.5,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 13:00:00,72.4,110.3,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 14:00:00,65.3,99.2,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 15:00:00,57.8,91.0,Moderate,OK,routine monitoring
Kolkata,2026-01-01 16:00:00,57.6,88.1,Moderate,OK,routine monitoring
Kolkata,2026-01-01 17:00:00,63.0,101.2,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 18:00:00,61.4,95.2,Moderate,WATCH,routine monitoring
Kolkata,2026-01-01 19:00:00,56.8,88.1,Moderate,OK,routine monitoring
Kolkata,2026-01-01 20:00:00,57.2,84.1,Moderate,OK,routine monitoring
Kolkata,2026-01-01 21:00:00,43.6,63.8,Good,OK,routine monitoring
Kolkata,2026-01-01 22:00:00,47.5,70.2,Good,OK,routine monitoring
Kolkata,2026-01-01 23:00:00,52.9,78.7,Moderate,OK,routine monitoring
Chennai,2026-01-01 00:00:00,34.3,52.3,Good,OK,routine monitoring
Chennai,2026-01-01 01:00:00,39.5,56.4,Good,OK,routine monitoring
Chennai,2026-01-01 02:00:00,41.1,59.3,Good,OK,routine monitoring
Chennai,2026-01-01 03:00:00,42.7,63.2,Good,OK,routine monitoring
Chennai,2026-01-01 04:00:00,42.9,62.0,Good,OK,routine monitoring
Chennai,2026-01-01 05:00:00,42.0,61.5,Good,OK,routine monitoring
Chennai,2026-01-01 06:00:00,46.8,70.0,Good,OK,routine monitoring
Chennai,2026-01-01 07:00:00,46.1,68.2,Good,OK,routine monitoring
Chennai,2026-01-01 08:00:00,48.1,69.9,Good,OK,routine monitoring
Chennai,2026-01-01 09:00:00,51.0,74.5,Moderate,OK,routine monitoring
Chennai,2026-01-01 10:00:00,46.0,70.6,Good,OK,routine monitoring
Chennai,2026-01-01 11:00:00,44.3,74.0,Good,OK,routine monitoring
Chennai,2026-01-01 12:00:00,39.8,64.4,Good,OK,routine monitoring
Chennai,2026-01-01 13:00:00,38.2,62.6,Good,OK,routine monitoring
Chennai,2026-01-01 14:00:00,42.3,65.2,Good,OK,routine monitoring
Chennai,2026-01-01 15:00:00,37.0,57.2,Good,OK,routine monitoring
Chennai,2026-01-01 16:00:00,34.8,49.9,Good,OK,routine monitoring
Chennai,2026-01-01 17:00:00,35.1,55.6,Good,OK,routine monitoring
Chennai,2026-01-01 18:00:00,33.7,49.4,Good,OK,routine monitoring
Chennai,2026-01-01 19:00:00,37.8,58.2,Good,OK,routine monitoring
Chennai,2026-01-01 20:00:00,38.9,58.9,Good,OK,routine monitoring
Chennai,2026-01-01 21:00:00,34.4,50.5,Good,OK,routine monitoring
Chennai,2026-01-01 22:00:00,35.0,50.1,Good,OK,routine monitoring
Chennai,2026-01-01 23:00:00,35.9,51.6,Good,OK,routine monitoring
Bengaluru,2026-01-01 00:00:00,30.8,44.1,Good,OK,routine monitoring
Bengaluru,2026-01-01 01:00:00,34.7,50.2,Good,OK,routine monitoring
Bengaluru,2026-01-01 02:00:00,32.4,47.9,Good,OK,routine monitoring
Bengaluru,2026-01-01 03:00:00,32.7,47.9,Good,OK,routine monitoring
Bengaluru,2026-01-01 04:00:00,37.7,54.8,Good,OK,routine monitoring
Bengaluru,2026-01-01 05:00:00,34.2,49.7,Good,OK,routine monitoring
Bengaluru,2026-01-01 06:00:00,34.6,50.1,Good,OK,routine monitoring
Bengaluru,2026-01-01 07:00:00,33.6,49.3,Good,OK,routine monitoring
Bengaluru,2026-01-01 08:00:00,39.4,61.2,Good,OK,routine monitoring
Bengaluru,2026-01-01 09:00:00,37.0,52.9,Good,OK,routine monitoring
Bengaluru,2026-01-01 10:00:00,33.7,48.2,Good,OK,routine monitoring
Bengaluru,2026-01-01 11:00:00,31.5,50.8,Good,OK,routine monitoring
Bengaluru,2026-01-01 12:00:00,32.3,50.3,Good,OK,routine monitoring
Bengaluru,2026-01-01 13:00:00,27.1,44.3,Good,OK,routine monitoring
Bengaluru,2026-01-01 14:00:00,21.1,33.7,Good,OK,routine monitoring
Bengaluru,2026-01-01 15:00:00,21.5,32.4,Good,OK,routine monitoring
Bengaluru,2026-01-01 16:00:00,23.6,39.2,Good,OK,routine monitoring
Bengaluru,2026-01-01 17:00:00,25.6,39.6,Good,OK,routine monitoring
Bengaluru,2026-01-01 18:00:00,21.4,31.2,Good,OK,routine monitoring
Bengaluru,2026-01-01 19:00:00,25.4,37.6,Good,OK,routine monitoring
Bengaluru,2026-01-01 20:00:00,22.0,31.2,Good,OK,routine monitoring
Bengaluru,2026-01-01 21:00:00,21.9,32.1,Good,OK,routine monitoring
Bengaluru,2026-01-01 22:00:00,25.8,38.1,Good,OK,routine monitoring
Bengaluru,2026-01-01 23:00:00,27.4,38.5,Good,OK,routine monitoring
Hyderabad,2026-01-01 00:00:00,38.7,56.2,Good,OK,routine monitoring
Hyderabad,2026-01-01 01:00:00,42.7,62.3,Good,OK,routine monitoring
Hyderabad,2026-01-01 02:00:00,43.6,64.4,Good,OK,routine monitoring
Hyderabad,2026-01-01 03:00:00,47.8,69.3,Good,OK,routine monitoring
Hyderabad,2026-01-01 04:00:00,45.1,64.8,Good,OK,routine monitoring
Hyderabad,2026-01-01 05:00:00,42.2,62.5,Good,OK,routine monitoring
Hyderabad,2026-01-01 06:00:00,47.7,69.8,Good,OK,routine monitoring
Hyderabad,2026-01-01 07:00:00,48.3,71.2,Good,OK,routine monitoring
Hyderabad,2026-01-01 08:00:00,51.4,77.3,Moderate,OK,routine monitoring
Hyderabad,2026-01-01 09:00:00,45.8,68.0,Good,OK,routine monitoring
Hyderabad,2026-01-01 10:00:00,48.3,75.7,Good,OK,routine monitoring
Hyderabad,2026-01-01 11:00:00,41.7,68.9,Good,OK,routine monitoring
Hyderabad,2026-01-01 12:00:00,43.8,71.9,Good,OK,routine monitoring
Hyderabad,2026-01-01 13:00:00,43.0,70.2,Good,OK,routine monitoring
Hyderabad,2026-01-01 14:00:00,37.0,63.0,Good,OK,routine monitoring
Hyderabad,2026-01-01 15:00:00,38.7,60.2,Good,OK,routine monitoring
Hyderabad,2026-01-01 16:00:00,34.9,55.1,Good,OK,routine monitoring
Hyderabad,2026-01-01 17:00:00,31.4,49.6,Good,OK,routine monitoring
Hyderabad,2026-01-01 18:00:00,35.9,55.4,Good,OK,routine monitoring
Hyderabad,2026-01-01 19:00:00,37.7,57.6,Good,OK,routine monitoring
Hyderabad,2026-01-01 20:00:00,36.3,54.2,Good,OK,routine monitoring
Hyderabad,2026-01-01 21:00:00,33.5,48.5,Good,OK,routine monitoring
Hyderabad,2026-01-01 22:00:00,34.7,49.4,Good,OK,routine monitoring
Hyderabad,2026-01-01 23:00:00,34.7,50.5,Good,OK,routine monitoring
Pune,2026-01-01 00:00:00,38.1,57.8,Good,OK,routine monitoring
Pune,2026-01-01 01:00:00,39.1,58.0,Good,OK,routine monitoring
Pune,2026-01-01 02:00:00,40.2,59.8,Good,OK,routine monitoring
Pune,2026-01-01 03:00:00,42.1,62.4,Good,OK,routine monitoring
Pune,2026-01-01 04:00:00,42.6,61.8,Good,OK,routine monitoring
Pune,2026-01-01 05:00:00,39.0,57.9,Good,OK,routine monitoring
Pune,2026-01-01 06:00:00,43.3,62.2,Good,OK,routine monitoring
Pune,2026-01-01 07:00:00,38.2,56.9,Good,OK,routine monitoring
Pune,2026-01-01 08:00:00,48.7,79.3,Good,OK,routine monitoring
Pune,2026-01-01 09:00:00,48.1,70.6,Good,OK,routine monitoring
Pune,2026-01-01 10:00:00,42.9,65.7,Good,OK,routine monitoring
Pune,2026-01-01 11:00:00,44.3,71.4,Good,OK,routine monitoring
Pune,2026-01-01 12:00:00,39.1,62.7,Good,OK,routine monitoring
Pune,2026-01-01 13:00:00,36.6,60.0,Good,OK,routine monitoring
Pune,2026-01-01 14:00:00,29.5,48.3,Good,OK,routine monitoring
Pune,2026-01-01 15:00:00,29.9,46.2,Good,OK,routine monitoring
Pune,2026-01-01 16:00:00,31.3,49.8,Good,OK,routine monitoring
Pune,2026-01-01 17:00:00,27.8,40.6,Good,OK,routine monitoring
Pune,2026-01-01 18:00:00,30.1,44.3,Good,OK,routine monitoring
Pune,2026-01-01 19:00:00,31.0,43.0,Good,OK,routine monitoring
Pune,2026-01-01 20:00:00,29.8,42.1,Good,OK,routine monitoring
Pune,2026-01-01 21:00:00,26.7,37.1,Good,OK,routine monitoring
Pune,2026-01-01 22:00:00,33.1,47.2,Good,OK,routine monitoring
Pune,2026-01-01 23:00:00,35.9,52.2,Good,OK,routine monitoring
Ahmedabad,2026-01-01 00:00:00,70.1,106.6,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 01:00:00,81.6,127.4,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 02:00:00,75.3,118.9,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 03:00:00,79.8,123.1,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 04:00:00,83.1,124.6,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 05:00:00,78.2,119.9,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 06:00:00,82.4,129.2,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 07:00:00,80.7,128.8,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 08:00:00,91.1,145.8,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 09:00:00,92.1,147.9,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 10:00:00,86.4,138.9,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 11:00:00,88.8,139.9,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 12:00:00,88.7,145.1,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 13:00:00,83.3,136.6,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 14:00:00,76.6,120.9,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 15:00:00,78.2,121.5,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 16:00:00,73.0,113.8,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 17:00:00,69.6,109.1,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 18:00:00,73.4,119.8,Moderate,WATCH,routine monitoring
Ahmedabad,2026-01-01 19:00:00,74.6,119.5,Moderate,WATCH,routine monitoring
